stimulus,molecule,dilution,solvent,Intensity_label
H847,47649,1e-04,DEP,L
C588,61192,0.3,PG,H
C985,61192,0.001,PG,L
C391,61325,0.002,PG,L
C564,61325,0.2,PG,H
C979,61527,0.4,PG,H
C452,61527,0.001,PG,L
A701,61641,0.01,PG,H
A299,61641,1e-05,PG,L
C260,61771,0.3,PG,H
C410,61771,0.003,PG,L
C729,61809,0.05,PG,H
C038,61809,5e-04,PG,L
C094,61918,0.005,PG,L
C415,61918,0.2,PG,H
A240,62378,0.2,PG,H
A474,62378,0.001,PG,L
A117,62444,5e-05,PG,L
A298,62444,0.001,PG,H
D171,62465,0.2,PG,H
D204,62465,0.001,PG,L
H249,66282,0.01,PG,H
H339,66282,1e-06,PG,L
H511,70126,0.01,DEP,L
H516,70126,0.3,DEP,H
H020,135966,0.005,PG,L
H105,135966,1,NT,H
B521,159055,1,NT,H
B538,159055,0.005,PG,L
B137,439570,0.005,PG,L
G444,439570,0.4,PG,H
H570,521348,0.1,PG,H
H957,521348,5e-06,PG,L
H878,522674,0.1,DEP,H
H551,522674,1e-06,DEP,L
D788,556940,5e-04,PG,L
D836,556940,0.1,PG,H
C203,637511,0.005,PG,L
C393,637511,0.4,PG,H
I714,637564,0.001,PG,L
I554,637564,0.3,PG,H
A454,638011,0.005,PG,L
A504,638011,1,NT,H
B037,638014,0.001,PG,L
B593,638014,0.5,PG,H
G231,643731,1e-05,PG,L
G419,643731,0.01,PG,H
B381,5281168,0.001,PG,L
B878,5281168,0.3,PG,H
I421,5282707,1,NT,H
I535,5282707,0.01,PG,L
H672,5283356,0.2,DEP,H
H973,5283356,0.005,DEP,L
B713,5318042,0.005,PG,L
B906,5318042,0.15,PG,H
G452,5362720,0.04,PG,H
G804,5362720,8e-04,PG,L
D491,5362814,5e-04,PG,L
D879,5362814,0.1,PG,H
A014,5363388,0.01,PG,H
A945,5363388,0.001,PG,L
C489,5365027,0.001,PG,L
C921,5365027,0.3,PG,H
G443,5366074,1,NT,H
G585,5366074,0.01,PG,L
H851,10975561,0.003,PG,L
H876,10975561,0.3,PG,H
