"id","molecule","dilution","solvent"
"285",62465,0.01,"pg"
"286",62465,0.05,"pg"
"287",62465,0.2,"pg"
"288",6276,0.01,"pg"
"289",6276,0.05,"pg"
"290",6276,0.2,"pg"
"291",6276,0.3,"pg"
"292",6276,0.5,"pg"
"293",637511,0.01,"dep"
"294",637511,0.4,"dep"
"296",637511,1e-04,"1,2-propanediol"
"297",637511,1e-04,"dep"
"302",637564,0.001,"pg"
"303",637564,0.08,"pg"
"304",637564,0.3,"pg"
"305",638011,0.005,"pg"
"306",638011,1,"nt"
"310",643731,0.01,"pg"
"311",643731,1e-05,"pg"
"312",643731,0.01,"pg"
"315",6544,0.02,"pg"
"316",6544,1,"nt"
"317",6549,0.00082,"paraffin oil"
"319",6549,0.016,"paraffin oil"
"320",6549,0.031,"paraffin oil"
"321",6549,0.1,"pg"
"322",6549,0.15,"paraffin oil"
"323",6560,0.01,"pg"
"324",6560,0.5,"pg"
"325",6560,1,"nt"
"326",6561,0.1,"pg"
"327",6736,5e-05,"pg"
"328",6736,0.001,"pg"
"329",6736,0.01,"pg"
"330",6736,0.02,"pg"
"331",6736,5e-05,"1,2-propanediol"
"332",6920,0.011,"pg"
"333",6920,0.023,"pg"
"334",6920,0.07,"pg"
"335",6920,0.091,"pg"
"336",6920,0.19,"pg"
"337",6920,0.2,"pg"
"338",6920,0.36,"pg"
"339",6989,0.2,"pg"
"340",700,0.5,"pg"
"341",7047,0.001,"pg"
"342",7047,0.01,"pg"
"343",7047,0.1,"pg"
"344",7127,0.2,"pg"
"345",7144,0.01,"pg"
"346",7146,0.001,"dep"
"347",7146,0.1,"dep"
"348",7146,0.6,"dep"
"349",7150,0.003,"dep"
"350",7150,0.008,"dep"
"351",7150,0.02,"dep"
"352",7150,0.05,"dep"
"353",7150,0.08,"dep"
"354",7165,0.0027,"dep"
"355",7165,0.007,"dep"
"356",7165,0.01,"dep"
"357",7165,0.01,"pg"
"358",7165,0.02,"dep"
"359",7165,0.048,"dep"
"360",7222,0.1,"pg"
"361",7244,0.001,"pg"
"362",7244,0.5,"pg"
"363",7244,1,"nt"
"364",7335,0.1,"pg"
"365",7342,0.03,"pg"
"366",7342,0.1,"90% ethanol"
"367",7344,0.005,"dep"
"368",7344,0.012,"dep"
"369",7344,0.04,"dep"
"370",7344,0.15,"dep"
"371",7344,0.15,"pg"
"372",7344,0.17,"dep"
"373",7344,0.2,"dep"
"374",7363,1e-05,"pg"
"375",7363,5e-05,"pg"
"376",7363,0.003,"pg"
"378",7363,1e-05,"pg"
"379",7363,5e-04,"pg"
"380",7363,5e-05,"pg"
"381",7410,0.01,"pg"
"382",7410,0.033,"pg"
"383",7410,0.14,"pg"
"384",7410,0.28,"pg"
"385",75634,0.2,"pg"
"386",7583,0.3,"dep"
"388",76322,0.1,"pg"
"389",7654,0.008,"dep"
"390",7654,0.07,"dep"
"391",7654,0.1,"dep"
"392",7654,0.3,"dep"
"393",7654,0.5,"dep"
"394",7654,0.8,"dep"
"395",7749,0.0035,"dep"
"396",7749,0.005,"dep"
"397",7749,0.008,"dep"
"398",7749,0.01,"dep"
"399",7749,0.04,"dep"
"401",7762,0.001,"pg"
"402",7762,0.002,"dep"
"403",7762,0.008,"dep"
"404",7762,0.01,"dep"
"405",7762,0.01,"pg"
"406",7762,0.03,"dep"
"407",7762,0.05,"dep"
"408",7762,0.1,"pg"
"410",7762,8e-04,"dep"
"411",7765,0.001,"pg"
"412",7765,0.008,"pg"
"413",7765,0.2,"pg"
"414",7765,7e-04,"pg"
"415",7770,0.001,"pg"
"416",7792,0.007,"pg"
"417",7792,1,"nt"
"418",7793,0.003,"dep"
"419",7793,0.01,"dep"
"420",7793,0.04,"dep"
"421",7793,0.08,"dep"
"422",7793,0.15,"dep"
"423",7793,0.5,"pg"
"425",7888,0.03,"dep"
"426",7888,0.07,"dep"
"427",7888,0.2,"dep"
"428",7888,0.25,"dep"
"429",7888,0.5,"dep"
"430",7888,0.6,"dep"
"431",78944,0.1,"pg"
"432",7909,0.001,"pg"
"433",79104,0.3,"pg"
"434",7916,0.1,"pg"
"435",7916,1,"nt"
"436",7921,0.005,"dep"
"437",7921,0.04,"dep"
"438",7921,0.1,"dep"
"439",7921,0.15,"dep"
"440",7921,0.5,"dep"
"441",7921,1,"nt"
"442",7945,0.005,"pg"
"443",7945,0.1,"pg"
"444",7945,1e-04,"pg"
"445",7966,0.004,"mineral oil"
"446",7966,0.05,"mineral oil"
"447",7966,0.2,"mineral oil"
"448",7966,0.2,"pg"
"449",7969,1e-06,"pg"
"450",7969,1e-05,"pg"
"451",7969,1e-06,"pg"
"452",798,0.008,"pg"
"454",8025,0.0015,"dep"
"455",8025,0.006,"dep"
"456",8025,0.04,"dep"
"457",8025,0.05,"dep"
"458",8025,0.2,"dep"
"459",8025,0.47,"dep"
"460",8034,0.001,"pg"
"461",8048,0.005,"pg"
"462",8048,1,"nt"
"463",8051,0.001,"paraffin oil"
"464",8051,0.005,"paraffin oil"
"465",8051,0.01,"paraffin oil"
"466",8051,0.013,"paraffin oil"
"467",8051,0.025,"paraffin oil"
"468",8051,0.21,"paraffin oil"
"469",8051,0.3,"paraffin oil"
"471",8051,0.38,"paraffin oil"
"472",8051,5e-04,"paraffin oil"
"474",8060,0.005,"pg"
"475",8093,1,"nt"
"476",8094,0.005,"pg"
"477",8094,0.1,"pg"
"478",8094,0.4,"pg"
"479",8118,1e-04,"pg"
"481",8118,0.001,"pg"
"482",8118,0.01,"pg"
"483",8118,1e-04,"pg"
"484",8129,0.004,"mineral oil"
"485",8130,0.001,"pg"
"486",8130,0.005,"pg"
"487",8130,0.1,"pg"
"489",8130,4e-04,"pg"
"490",8144,1,"nt"
"491",8144,7e-05,"dep"
"493",83623,0.001,"pg"
"495",8375,0.001,"pg"
"496",8375,0.5,"pg"
"497",8375,1,"nt"
"498",8452,0.01,"pg"
"499",8452,0.1,"pg"
"500",8452,0.2,"pg"
"501",8454,0.005,"pg"
"502",8454,0.1,"pg"
"503",8454,1e-04,"pg"
"504",8785,0.003,"pg"
"508",8785,0.05,"pg"
"510",8785,0.2,"pg"
"512",8858,0.005,"dep"
"513",8858,0.007,"dep"
"514",8858,0.01,"dep"
"515",8858,0.01,"pg"
"516",8858,0.02,"dep"
"517",8858,0.047,"dep"
"518",8858,8e-04,"dep"
"519",8892,0.007,"pg"
"520",8892,0.04,"pg"
"521",8892,0.057,"pg"
"522",8892,0.11,"pg"
"523",8892,0.2,"pg"
"524",8892,0.83,"pg"
"525",8892,1,"nt"
"526",91497,1,"nt"
"527",9261,0.1,"pg"
"528",92844,0.2,"pg"
"529",93009,0.01,"pg"
"530",9589,0.2,"pg"
