"id","components"
"AJ010","142;266;405;127;287"
"AJ018","478;503;342"
"AJ058","324;265;304;145;284"
"AJ062","172;413;297;145;286"
"AJ070","294;465;223;160;445;376;148;500;58;361"
"AJ108","443;293;158"
"AJ119","22;413;401;146;287"
"AJ191","24;230;414;264;127"
"AJ192","508;294;472"
"AJ244","143;231;496;401;303"
"AJ261","142;171;496;408;274"
"AJ266","297;224;167;269;446;376;499;56;363;290"
"AJ283","444;66;157"
"AJ316","64;343;108"
"AJ334","478;17;465"
"AJ356","27;495;343"
"AJ380","342;275;135"
"AJ413","469;346;223;489;135;380;152;58;247;362"
"AJ438","293;347;223;164;445;22;153;248;363;290"
"AJ449","476;24;495;293;304"
"AJ481","144;232;482;274;145"
"AJ487","144;124;294;129;284"
"AJ490","476;496;469"
"AJ495","263;481;408;273;286"
"AJ507","101;447;132"
"AJ522","153;273;17"
"AJ537","297;160;268;240;132;446;482;500;247;362"
"AJ544","465;167;487;239;379;23;55;246;361;292"
"AJ573","148;502;12"
"AJ587","477;25;490"
"AJ601","22;231;170;413;266"
"AJ626","495;412;274;302;147"
"AJ639","152;442;259"
"AJ647","504;64;108"
"AJ657","123;23;231;275;128"
"AJ661","122;232;323;414;147"
"AJ728","491;341;21"
"AJ733","26;497;258"
"AJ755","67;136;12"
"AJ809","124;170;324;265;101"
"AJ840","472;225;316;167;447;152;498;56;246;363"
"AJ862","501;21;465"
"AJ915","171;496;110;128;284"
"AJ968","510;501;445"
"AJ977","348;315;486;447;481;379;499;56;362;288"
"AJ986","325;412;110;146;287"
"AJ990","469;347;164;486;136;483;380;148;246;361"
"AJ995","293;225;164;267;379;24;153;55;248;362"
"AK010","67;70;130;218;288;374;416;483;306;523"
"AK033","70;141;218;230;241;329;365;417;482;306"
"AK052","71;130;230;291;323;327;365;416;448;401"
"AK103","408;196;490;183;232"
"AK113","66;71;130;242;306;325;330;375;416;519"
"AK118","70;291;305;323;327;375;448;461;482;523"
"AK135","66;70;130;141;218;365;376;417;461;401"
"AK308","376;183;270;401;435"
"AK344","12;435;230;270;385"
"AK361","71;141;218;182;323;329;365;417;462;482"
"AK366","66;71;141;218;232;242;305;323;519;448"
"AK418","28;490;193;385;435"
"AK432","62;218;230;241;306;365;130;482;401;523"
"AK436","130;141;182;306;365;376;416;448;462;479"
"AK455","435;183;232;263;449"
"AK477","21;408;183;385;490"
"AK488","376;127;21;490;401"
"AK494","11;12;183;312;434"
"AK497","66;141;232;242;289;305;330;365;519;448"
"AK502","70;130;232;242;306;323;365;462;479;435"
"AK530","11;21;490;271;311"
"AK531","34;127;435;195;490"
"AK571","11;12;127;157;232"
"AK574","232;312;401;193;435"
"AK602","62;70;141;218;232;289;327;376;416;448"
"AK697","70;130;292;306;323;365;417;519;479;435"
"AK716","93;195;230;263;435"
"AK717","408;156;183;262;312"
"AK719","28;125;186;385;435"
"AK723","71;130;232;242;323;365;448;461;482;523"
"AK727","34;376;21;263;401"
"AK739","183;262;385;401;435"
"AK788","93;408;183;189;230"
"AK814","232;292;327;365;417;130;448;461;401;519"
"AK851","67;72;141;218;241;291;306;330;365;523"
"AK852","72;141;242;292;306;323;416;461;483;435"
"AK864","196;157;263;385;490"
"AK893","408;129;232;263;490"
"AK895","67;130;141;232;288;306;328;378;519;435"
"AK907","11;12;435;232;272"
"AK942","11;408;312;385;435"
"AK971","66;130;230;241;329;365;416;448;461;523"
"AK975","11;34;94;21;263"
"AK977","263;21;196;385;451"
"AK983","93;408;262;310;385"
"AL047","185;484;474;482;485"
"AL090","166;189;485;523;528"
"AL100","73;226;528;460;523"
"AL112","166;189;226;326;485"
"AL120","73;386;166;216;239;179;185;451;484;485"
"AL137","166;221;239;386;283;179;340;417;185;528"
"AL174","166;179;189;460;474"
"AL177","166;280;484;452;528"
"AL200","73;221;484;482;523"
"AL231","73;158;166;216;239;451;460;484;485;386"
"AL268","166;185;189;326;280"
"AL280","166;221;386;326;528"
"AL310","386;166;523;239;280;340;434;451;484;326"
"AL334","386;166;189;283;179;417;484;485;226;185"
"AL360","179;484;386;474;528"
"AL378","73;166;189;216;523;179;434;475;484;386"
"AL388","166;179;221;528;452"
"AL389","185;189;528;326;452"
"AL397","73;166;185;452;482"
"AL402","386;528;280;326;474"
"AL409","73;158;189;340;283;179;185;475;485;528"
"AL415","179;189;528;280;326"
"AL417","166;189;216;283;179;226;417;451;475;528"
"AL426","73;528;280;452;474"
"AL453","166;179;189;326;452"
"AL454","73;221;239;528;280;179;340;417;475;484"
"AL508","179;185;326;386;485"
"AL520","221;283;386;474;528"
"AL538","73;179;460;485;523"
"AL541","73;386;158;166;216;239;340;283;434;326"
"AL542","166;528;280;386;474"
"AL581","185;226;484;474;528"
"AL612","179;189;280;386;474"
"AL613","185;528;386;482;523"
"AL650","73;386;158;166;189;216;523;528;283;460"
"AL657","73;158;166;189;216;221;226;475;484;386"
"AL679","73;386;239;283;340;417;451;460;485;528"
"AL694","73;158;326;221;179;417;434;475;484;485"
"AL705","179;528;280;452;474"
"AL728","185;386;474;485;528"
"AL790","179;189;326;460;528"
"AL806","386;452;460;485;528"
"AL822","386;239;280;179;417;451;484;485;226;528"
"AL860","73;221;386;326;485"
"AL869","158;166;221;283;179;340;434;185;475;484"
"AL883","386;158;216;221;239;280;340;451;460;484"
"AL933","73;189;216;239;326;417;434;460;484;485"
"AL944","73;386;216;221;283;417;185;485;226;528"
"AL950","73;166;283;179;226;451;475;484;485;386"
"AL973","73;221;226;326;528"
"AM019","16;159;200;253;334;364;370;432;450;520"
"AM043","184;60;526;450;514"
"AM064","61;88;175;433;520"
"AM082","31;65;69;163;352;405;419;433;463;520"
"AM103","31;45;79;114;121;163;370;433;493;520"
"AM104","60;116;163;213;264;282;364;220;411;463"
"AM131","38;59;65;419;432"
"AM172","204;243;282;285;381"
"AM182","31;38;59;83;450"
"AM206","184;163;204;352;370"
"AM212","31;88;114;163;370;45;419;433;493;514"
"AM221","184;61;84;526;334"
"AM281","16;526;200;244;253;364;405;432;457;520"
"AM286","38;65;114;163;370;405;419;463;493;514"
"AM311","38;163;243;419;493"
"AM349","184;526;200;244;344;364;405;432;450;457"
"AM361","83;253;285;431;441"
"AM414","45;60;61;69;116;264;282;321;364;463"
"AM430","38;184;83;431;441"
"AM431","16;184;78;121;520;45;334;419;450;530"
"AM435","31;45;60;61;69;213;264;321;220;364"
"AM451","184;60;88;175;381"
"AM456","96;204;243;441;463"
"AM461","184;526;163;264;38"
"AM483","60;344;352;419;520"
"AM516","184;61;344;514;520"
"AM518","204;264;411;431;514"
"AM523","65;204;244;411;441"
"AM571","60;69;163;213;526"
"AM586","84;441;163;253;419"
"AM654","184;59;159;411;431"
"AM706","88;253;282;419;463"
"AM715","61;116;162;220;282;321;364;381;411;463"
"AM782","526;159;244;253;344;364;370;432;450;457"
"AM792","243;285;370;441;526"
"AM796","78;204;282;285;381"
"AM810","184;69;96;285;526"
"AM840","16;526;184;213;264;45;334;450;520;530"
"AM881","31;96;419;431;441"
"AM882","31;38;65;69;88;163;371;405;419;433"
"AM907","526;213;244;279;450"
"AM911","16;184;78;526;121;264;279;45;334;530"
"AM940","16;184;364;38;405;432;450;457;493;520"
"AM942","83;88;243;96;450"
"AM943","184;84;163;264;520"
"AM944","31;45;60;69;213;220;264;321;457;463"
"AM966","526;213;244;411;514"
"AM969","184;78;526;121;264;45;419;520;220;530"
"AM990","60;175;419;514;520"
"AM997","16;184;45;121;264;279;419;520;220;530"
"AN087","31;103;204;237;321;339;344;364;398;508"
"AN095","59;103;204;220;339;344;364;370;398;514"
"AN132","366"
"AN176","138;398;441;514;527"
"AN243","61;121;126;159;175;220;352;398;419;508"
"AN268","45;441;59;69;103;114;138;220;285;493"
"AN301","59;83;114;138;237;253;398;415;220;530"
"AN303","31;59;103;204;339;344;370;220;441;514"
"AN307","59;126;159;220;237;352;398;415;419;508"
"AN368","245;312"
"AN446","441;364;411;514;520"
"AN479","59;114;121;364;411"
"AN561","59;103;204;237;282;321;364;370;405;415"
"AN565","83;114;116;138;237;253;339;508;463;220"
"AN739","220;279;339;344;508"
"AN759","1"
"AN802","121;126;138;364;441"
"AN873","1;2"
"AN874","2"
"AN885","201;205"
"AN890","97"
"AN955","220;352;398;419;433"
"AN983","96"
"AO006","61;88;97;126;200"
"AO016","423"
"AO033","59;69;98;184;237;253;285;429;433;441"
"AO055","31;38;59;237;282;364;220;405;441;514"
"AO060","63;78;98;116;163;220;237;279;429;433"
"AO074","45;69;98;103;441;220;285;321;398;527"
"AO080","61;364;405;411;520"
"AO083","38;59;121;213;508"
"AO091","88;159;213;441;370"
"AO180","38;45;61;321;441"
"AO208","61;114;121;282;520"
"AO235","31;83;116;220;253;441;415;508;237;527"
"AO268","59;63;163;184;237;279;285;345;429;493"
"AO276","83;116;220;126;391"
"AO284","38;59;282;364;419"
"AO305","61;138;441;463;520"
"AO309","38;61;116;175;441"
"AO318","59;126;175;220;352;441;398;411;419;508"
"AO338","31;114;116;138;220;237;253;282;398;530"
"AO390","88;220;441;253;433"
"AO440","45;59;69;98;103;220;285;398;415;493"
"AO456","38;357;391;398;405;419;429;433;441;514"
"AO482","220;279;344;391;441"
"AO486","61;200;97;364;527"
"AO500","121;138;220;398;441"
"AO542","61;103;405;514;520"
"AO549","31;237;441;463;520"
"AO567","441;253;279;285;520"
"AO579","16;61;98;120;282"
"AO596","38;61;321;364;441"
"AO615","116;441;220;279;419"
"AO665","59;69;121;398;520"
"AO684","88;126;159;213;419"
"AO697","31;83;116;138;220;253;441;282;398;527"
"AO718","38;59;61;441;121;419;175;220;398;530"
"AO742","121;138;213;220;433"
"AO762","433;220;419;441;527"
"AO849","16;97;114;138;220"
"AO865","45;441;69;114;220;321;391;415;493;527"
"AO870","59;61;121;126;441;175;352;398;419;508"
"AO882","441;98;103;114;321;220;282;391;493;527"
"AO915","227"
"AO919","61;116;285;508;441"
"AO984","213;282;344;441;370"
"AP029","38;78;357;370;514"
"AP048","59;114;264;514;527"
"AP067","59;163;200;334;357"
"AP145","59;61;114;213;527"
"AP146","345;126;243;282;357;381;398;411;431;530"
"AP154","88;163;200;520;530"
"AP164","193;370;405;508;514"
"AP177","282;285;352;381;527"
"AP182","345;88;126;175;282;357;381;398;508;526"
"AP257","61;65;116;200;244;264;285;360;364;388"
"AP258","100;345;398;441;508"
"AP275","163;244;334;352;429"
"AP283","163;237;357;429;530"
"AP320","65;220;279;334;419"
"AP325","114;120;204;213;527"
"AP340","16;61;78;98;184;244;321;429;508;530"
"AP385","88;126;175;282;334;344;398;431;508;530"
"AP397","45;345;175;220;357;398;405;419;433;520"
"AP399","78;193;357;370;520"
"AP431","98;121;175;334;352"
"AP432","65;116;121;163;285;339;360;388;419;527"
"AP447","61;114;120;364;388"
"AP450","100;175;398;433;530"
"AP477","16;65;204;429;433"
"AP521","16;61;78;200;244;264;279;321;398;508"
"AP524","345;65;121;175;220;243;357;360;405;419"
"AP563","98;184;220;244;264;321;334;429;463;530"
"AP571","65;69;100;184;244;339;388;419;526;527"
"AP577","345;88;321;220;339;344;398;411;431;508"
"AP591","16;78;98;184;244;285;357;429;527;530"
"AP627","59;339;381;520;530"
"AP661","114;121;220;243;253;321;344;405;419;520"
"AP679","345;78;88;321;282;334;357;411;431;530"
"AP691","59;97;213;344;527"
"AP734","61;65;69;100;200;339;360;419;526;527"
"AP738","16;61;98;184;220;244;264;334;357;530"
"AP745","259"
"AP752","100;237;419;433;530"
"AP774","345;97;213;344;364"
"AP781","98;100;121;429;527"
"AP810","61;65;213;398;530"
"AP839","59;121;126;405;520"
"AP841","45;65;114;121;175;220;253;398;433;530"
"AP848","45;114;175;220;243;321;344;433;520;530"
"AP854","65;100;244;264;285"
"AP858","61;100;126;213;360"
"AP958","88;279;321;339;398"
"AP974","334;352;381;411;429"
"AP983","237;321;339;381;398"
"AP990","38;126;370;398;405"
"AQ008","432;84"
"AQ140","408;196;490;183;232"
"AQ145","530"
"AQ230","340"
"AQ310","357;65"
"AQ376","183"
"AQ466","386;158;216;221;239;280;340;451;460;484"
"AQ473","243"
"AQ541","408;129;232;263;490"
"AQ563","432;83"
"AQ615","83"
"AQ640","38"
"AQ673","385"
"AQ692","527"
"AQ736","221"
"AQ778","386;452;460;485;528"
"AQ784","38;527"
"AQ792","432"
"AQ794","185;484;474;482;485"
"AQ810","243;530"
"AQ853","184;83"
"AQ862","163;337"
"AQ882","21;408;183;385;490"
"AQ892","528"
"AQ938","129"
"B253","122"
"B546","143"
"B623","380"
"B670","153"
"B713","241"
"B970","27"
"C391","262"
"C542","160"
"C622","414"
"C652","12"
"C702","157"
"C729","271"
"C749","519"
"C887","504"
"C979","266"
"D109","325"
"D141","483"
"D171","287"
"D299","67"
"D313","462"
"D323","341"
"D564","498"
"E058","140"
"E449","296"
"E587","331"
"E804","445"
"E947","218"
"F080","183"
"F422","117"
"G427","129"
"G523","288"
"H092","491"
"H127","416"
"H446","54"
"H488","132"
"H644","361"
"H714","348"
"H878","224"
"I405","147"
"I463","315"
"I666","478"
"I714","302"
"I769","497"
"J087","385"
"J093","528"
"J215","73"
"J346","515"
"J497","371"
"J594","221"
"J612","11"
"J613","89"
"J622","340"
"J670","130"
"K853","498"
"L218","76"
"L973","288"
