stimulus,Intensity,Pleasantness,Green,Cucumber,Herbal,Mint,Woody,Pine,Floral,Powdery,Fruity,Citrus,Tropical,Berry,Peach,Sweet,Caramellic,Vanilla,BrownSpice,Smoky,Burnt,Roasted,Grainy,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sour,Fermented,Sulfurous,Garlic.Onion,Earthy,Mushroom,Musty,Ammonia,Fishy,Fecal,Rotten.Decay,Rubber,Phenolic,Animal,Medicinal,Cooling,Sharp,Chlorine,Alcoholic,Plastic,Ozone,Metallic
AA324,7.573076923,4.842307692,0,0,0.730769231,0.615384615,0.153846154,0.153846154,0,0,0,0,0,0,0,0.230769231,0,0.076923077,0,0.230769231,0,0.115384615,0,0.076923077,0,0,0,0,0,0,0,0.192307692,0.153846154,0,0,0,0.115384615,0.153846154,0.269230769,0.230769231,0.115384615,0.423076923,0,0,0.153846154,2.807692308,2.538461538,0.807692308,0.115384615,0.192307692,0,0.038461538,0
AA332,6.826923077,2.692307692,0.076923077,0.038461538,0,0,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0.730769231,0.653846154,0.115384615,0.730769231,0.153846154,0,0,0,0.884615385,0.153846154,0.769230769,0.769230769,0.615384615,0.961538462,0.576923077,0.346153846,0.538461538,0.307692308,0.230769231,0.153846154,0.423076923,1.730769231,0.153846154,0,0.615384615,0,0.038461538,0.384615385,0,0,0,0,0
AA339,3.669230769,5.246153846,0.153846154,0,0,0.038461538,0.038461538,0.076923077,1.576923077,1.230769231,0.346153846,0,0,0,0,0.423076923,0,0.038461538,0,0,0,0,0.038461538,0,0.076923077,0,0,0.192307692,0.346153846,0.076923077,0.153846154,0.038461538,0,0,0.076923077,0.076923077,0.115384615,0.153846154,0,0,0,0,0,0.230769231,0,0,0,0.230769231,0.076923077,0.038461538,0.346153846,0.038461538,0
AA368,3.888461538,4.780769231,0.269230769,0.038461538,0,0,0,0.153846154,0.846153846,1.076923077,0.038461538,0,0.115384615,0.153846154,0.153846154,0.615384615,0,0.038461538,0,0,0.192307692,0,0.153846154,0,0,0.192307692,0.076923077,0.269230769,0.346153846,0.076923077,0.153846154,0.192307692,0,0.115384615,0,0,0.076923077,0.269230769,0.076923077,0,0,0.115384615,0,0.115384615,0.076923077,0.192307692,0,0,0,0.115384615,0.076923077,0.076923077,0
AA385,5.238461538,5.388461538,0.346153846,0,0.346153846,0.269230769,0.269230769,0.230769231,0,0.384615385,0.346153846,0,0,0,0.192307692,0.807692308,0.461538462,0,0.115384615,0.192307692,0.192307692,0.307692308,0.192307692,0.153846154,0.192307692,1.038461538,0.153846154,1.076923077,0.269230769,1.038461538,0,0,0,0,0,0.076923077,0.192307692,0.153846154,0,0,0,0,0.115384615,0,0,0,0.153846154,0,0,0.076923077,0.115384615,0,0
AA474,5.830769231,4.930769231,0.115384615,0,0.115384615,0.038461538,0.346153846,0,0.230769231,0.192307692,0.807692308,0,0,0.192307692,0.307692308,0.769230769,0.115384615,0.038461538,0,0,0.115384615,0.038461538,0.269230769,0,0.076923077,0.846153846,0.576923077,1.192307692,0.423076923,0.269230769,0.230769231,0,0.115384615,0.076923077,0,0,0.153846154,0.115384615,0,0,0,0,0.038461538,0.346153846,0,0.269230769,0,0,0.192307692,0.076923077,0,0,0
AA476,6.780769231,4.046153846,0,0,0.115384615,0,0.192307692,0,0,0.192307692,0.153846154,0,0,0,0.038461538,0.807692308,0.115384615,0.038461538,0,0.269230769,0.153846154,0.5,0.461538462,0.5,0.538461538,0.615384615,0.192307692,0.115384615,0.884615385,0.5,1.230769231,0.230769231,0.115384615,0.192307692,0.615384615,0.307692308,0.153846154,0,0.076923077,0.730769231,0,0.230769231,0,0.038461538,0.192307692,0.076923077,0.076923077,0,0,0,0,0.038461538,0
AA513,6.065384615,3.815384615,0.192307692,0,0.346153846,0,0.615384615,0.115384615,0.192307692,0.230769231,0,0,0.115384615,0,0.153846154,0.346153846,0.076923077,0,0.115384615,0.192307692,0.153846154,0.384615385,0.038461538,0,0.307692308,0.461538462,0.346153846,1.076923077,1.461538462,0.576923077,1.730769231,0.961538462,0.307692308,0.153846154,0.230769231,0,0.038461538,0,0,0,0.307692308,1.192307692,0,0,0.038461538,0,0,0,0,0,0,0,0
AA618,5.803846154,4.930769231,0,0,0.038461538,0.115384615,0,0,0.115384615,0.269230769,0,0,0,0.192307692,0,0.961538462,0.846153846,0.076923077,0.423076923,0.076923077,0.230769231,0.192307692,0,0,0,0,0.538461538,0.153846154,0.076923077,0,0,0.192307692,0.076923077,0.192307692,0,0,0,0.346153846,0.269230769,0,0,0,0.192307692,0.538461538,0,1.038461538,0.269230769,0.346153846,0.346153846,1.5,0.730769231,0.192307692,0.076923077
AA632,5.826923077,4.996153846,0,0,0.038461538,0,0,0,0,0.269230769,0.807692308,0,0.384615385,0.346153846,0.192307692,0.961538462,0.230769231,0.269230769,0,0,0.115384615,0.230769231,0.269230769,0,0.346153846,0.269230769,0.153846154,0.230769231,0.692307692,0.269230769,0.307692308,0.384615385,0,0.192307692,0.038461538,0.076923077,0,0.153846154,0.346153846,0,0,0.5,0,0,0,0.384615385,0,0.153846154,0.192307692,0.076923077,0.153846154,0.115384615,0
AA649,5.2,4.507692308,0,0,0,0,0,0.115384615,0.307692308,0.269230769,0.153846154,0,0,0,0,0.576923077,0,0,0.115384615,0.076923077,0.846153846,0.384615385,0.730769231,0.115384615,0.576923077,0.346153846,0,0.192307692,0,0,0.153846154,0,0.192307692,0.653846154,0.384615385,0.461538462,0.192307692,0,0.5,0,0,0,0,0.423076923,0.692307692,0.076923077,0,0.153846154,0,0,0,0,0
AA725,6.815384615,5.253846154,0.269230769,0,0.230769231,0,0.153846154,0.115384615,0.192307692,0.076923077,0.461538462,0,0.384615385,0.115384615,0.192307692,0.153846154,0,0,0,0.269230769,0,0.692307692,0.269230769,0.346153846,0.346153846,0.269230769,0.5,0.807692308,0.115384615,0.807692308,0.461538462,0.230769231,0.230769231,0.076923077,2.115384615,0,0.230769231,0.153846154,0,0,0,0,0,0,0,0,0.038461538,0.153846154,0,0,0,0,0
AA808,7.826923077,4.461538462,0,0,0,0,0.384615385,0,0.115384615,0.307692308,0,0,0,0.038461538,0,0.384615385,0,0,0,0.346153846,0.230769231,1.5,1.346153846,0.346153846,0.653846154,0.846153846,0,0,0.538461538,0.230769231,0.692307692,0.115384615,0,0.346153846,0.346153846,0.076923077,0.038461538,0.038461538,0,0.884615385,0.153846154,0.769230769,0,0,0.269230769,0,0,0,0,0,0,0,0
AA850,6.303846154,4.596153846,0.269230769,0.153846154,0.769230769,0,0,0.5,0.769230769,0.269230769,0.115384615,0.5,0.038461538,0.115384615,0,0,0,0,0.423076923,0.192307692,0.807692308,0.230769231,0,0.346153846,0.153846154,0.153846154,0,0,0,0,0,0.153846154,0,0.192307692,0.153846154,0.346153846,0.230769231,0.115384615,0.192307692,0.346153846,0,0.038461538,0.115384615,0.230769231,0.769230769,0.307692308,0.153846154,0.192307692,0.115384615,0,0.153846154,0.076923077,0
AA875,6.926923077,4.273076923,0,0,0.038461538,3.538461538,0,0,0.115384615,0.076923077,0,0.269230769,0.115384615,0,0,0.692307692,0,0.153846154,0,0,0.076923077,0.153846154,0,0.153846154,0.307692308,0.153846154,0,0,0.692307692,0.538461538,1,0.5,0.192307692,0,0.115384615,0.076923077,0,0,0,0.192307692,0.423076923,1.115384615,0,0,0.115384615,0,0.961538462,0.115384615,0,0.038461538,0,0,0
AA886,5.523076923,4.453846154,0,0,0.153846154,0.230769231,0.423076923,0.038461538,0.115384615,0,0.038461538,0.076923077,0,0.230769231,0,0.269230769,0.269230769,0.076923077,0.576923077,0.076923077,0.076923077,0.153846154,0.038461538,0.076923077,0,0,0,0,0.076923077,0,0,0.153846154,0,0.153846154,0,0,0,0.653846154,0.423076923,0,0,0,0,0.384615385,0.192307692,1.307692308,0.423076923,0.615384615,0.269230769,0.961538462,0.653846154,0.461538462,0.192307692
AA893,7.011538462,4.253846154,0.461538462,0,0.461538462,0.269230769,0,0.307692308,0.653846154,0,0.769230769,0.192307692,0.5,0.692307692,0.269230769,0.5,0,0,0,0.153846154,0,0.038461538,0.192307692,0,0,0,0,0,0,0,0.038461538,0,0.192307692,0.153846154,1.576923077,0,0,0,0.269230769,0.384615385,0.076923077,0.192307692,0.153846154,0.192307692,0.076923077,0.423076923,0.384615385,0.923076923,0,0.192307692,0.115384615,0,0.115384615
AA944,5.292307692,4.95,0.076923077,0,0.807692308,0,0.230769231,0.153846154,0.384615385,0.153846154,0,0,0,0,0,1.038461538,0.461538462,0.115384615,0,0,0,0.038461538,0.038461538,0,0.230769231,0.076923077,0,1.115384615,0,0.769230769,0.153846154,0.153846154,0.038461538,0.115384615,0.038461538,0,0,0.384615385,0.038461538,0,0,0,0.461538462,0.153846154,0,0.307692308,0.461538462,0.192307692,0,0.076923077,0.576923077,0.230769231,0.192307692
AA962,4.75,4.730769231,0.230769231,0.076923077,0,0,0,0.115384615,1.038461538,0.423076923,0,0,0,0.038461538,0.153846154,0.538461538,0,0,0,0.346153846,0,0.153846154,0,0.192307692,0,0.384615385,0.307692308,0.153846154,0.384615385,0.192307692,0.5,0.153846154,0.269230769,0.192307692,1.038461538,0,0,0,0,0,0,0.076923077,0.115384615,0.153846154,0.153846154,0,0.115384615,0.076923077,0.269230769,0,0.115384615,0.038461538,0.038461538
AA978,7.819230769,4.580769231,0.038461538,0,0.615384615,0.653846154,0.192307692,0,0,0,0,0.153846154,0.038461538,0.192307692,0,0.153846154,0,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0,0.153846154,0,0.153846154,0,0,0.038461538,0,0.846153846,0.384615385,0.269230769,0,0.384615385,0,0,0,3.115384615,2.076923077,1.230769231,0,0.538461538,0.038461538,0,0
AB019,6.977777778,4.127777778,0.222222222,0,0.277777778,0,0.166666667,0,0.277777778,0.111111111,0,0,0,0,0,0.944444444,0.388888889,0.555555556,0.166666667,0.222222222,0.222222222,0,0,0,0.277777778,0.333333333,0.333333333,0.111111111,1.222222222,0.277777778,1.166666667,1.111111111,0.222222222,0.055555556,0.222222222,0.222222222,0,0.5,0,0,0,1.722222222,0,0,0.222222222,0.111111111,0.055555556,0,0,0,0.166666667,0,0
AB144,6.5,4.511111111,0,0,0.166666667,0,0.111111111,0.055555556,0,0,0,0,0,0,0,0.777777778,0,0.111111111,0,0,0.111111111,0.666666667,0.277777778,0,0.055555556,0.555555556,0.388888889,0.166666667,1.333333333,0.5,1.111111111,0.333333333,0.166666667,0.277777778,0.333333333,0,0.111111111,0.5,0,0,0.277777778,0.888888889,0,0,0.166666667,0.555555556,0,0,0,0,0,0,0
AB186,6.311111111,5.972222222,0.666666667,0.5,0.944444444,0,0.388888889,0,1.166666667,0.222222222,0.611111111,1,0.555555556,0.388888889,0.5,0.388888889,0,0.111111111,0.611111111,0.555555556,0.111111111,0,0.166666667,0,0,0.055555556,0,0.166666667,0.166666667,0.166666667,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0.111111111,0.333333333,0,0,0,0.444444444,0
AB222,6.35,5.738888889,0.055555556,0,0.055555556,0,0,0,0.666666667,0.777777778,0.5,0,0.277777778,0,0.722222222,1.5,0.944444444,0.444444444,0,0,0.055555556,0.055555556,0.5,0,0,0.222222222,0.222222222,1.277777778,0.666666667,0.555555556,0.5,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0
AB223,6.477777778,6.088888889,0.555555556,0.333333333,0.722222222,0.166666667,0,0.944444444,1.611111111,0.722222222,0.666666667,0.944444444,0.5,0.611111111,0,0.111111111,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.277777778,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.222222222,0.5,0,0.222222222,0.166666667,0,0,0
AB226,5.822222222,5.688888889,0.166666667,0.166666667,0.388888889,0,0,0.444444444,1.5,0.722222222,1.222222222,0.611111111,0.944444444,0.777777778,0.555555556,1.111111111,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.388888889,0.222222222,0,0.166666667,0.222222222,0.055555556,0,0.333333333,0,0.222222222
AB281,6.788888889,6.394444444,0,0,0,2.333333333,0.166666667,0.166666667,0.333333333,0.666666667,0.277777778,0,0,0,0.277777778,2.333333333,0.555555556,0.611111111,0,0.388888889,0,0,0.777777778,0,0.222222222,0.222222222,0.277777778,0.666666667,0.5,0.666666667,0.388888889,0.055555556,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.833333333,0.111111111,0,0,0,0.055555556,0
AB287,6.822222222,6.9,0.444444444,0,0.666666667,1.888888889,0,0.722222222,0.222222222,0,0.388888889,1.055555556,0,0.111111111,0,0.611111111,0,0,0.444444444,0.5,0.222222222,0,0,0,0,0,0,0,0.055555556,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.777777778,0.277777778,0.388888889,0,0,0,0
AB378,6.661111111,6.705555556,0,0,0.166666667,3.388888889,0.111111111,0,0.055555556,0.666666667,0,0.277777778,0,0,0,1.111111111,0.166666667,0.166666667,0,0.111111111,0,0.833333333,1.222222222,0,0.611111111,0.222222222,0.055555556,0,0,0.722222222,0.222222222,0.277777778,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0.222222222,0
AB398,6.383333333,5.688888889,0,0,0.333333333,0,0.5,0.277777778,0,0,0,0,0,0,0,0.055555556,0,0,0,0.333333333,0,1.111111111,2.055555556,0,1.5,0,0,0.166666667,0,0.388888889,0,0,0,0,0,0.111111111,0.055555556,1.166666667,0,0,0,0,0.722222222,0.944444444,0,0.111111111,0.444444444,0,0.222222222,0,0.388888889,0,0
AB399,5.288888889,5.5,0.222222222,0,1.166666667,0.611111111,0.333333333,0.333333333,0.111111111,0.666666667,0,0,0,0,0,0.5,0,0.333333333,0.277777778,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0.722222222,0,0,0,0,0.333333333,0.444444444,0,0.444444444,0.388888889,0.388888889,0,0,0.833333333,0.666666667,0.055555556
AB413,6.383333333,4.572222222,0,0.055555556,0.111111111,0.111111111,0.444444444,0.222222222,0.333333333,0.555555556,0.888888889,0,0.666666667,0.611111111,0.166666667,0.444444444,0,0,0,0.277777778,0.166666667,0.5,0.222222222,0.277777778,0.277777778,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0.166666667,0.055555556,0.333333333,0,0,0,0.222222222,0,0,0.166666667,0.055555556,0.055555556,0.222222222,0.444444444,0.555555556,0,0.5,0.388888889,0.555555556,0
AB425,6.922222222,5.488888889,0,0,0,0,0,0,0.055555556,0.055555556,0.111111111,0,0,0,0,0,0,0,0,0.388888889,0.277777778,2.666666667,2.222222222,0.444444444,1.555555556,0.333333333,0,0,0,0.666666667,0.111111111,0,0.444444444,0.166666667,0.222222222,0.222222222,0.166666667,0.277777778,0,0,0.055555556,0,0,0,0.555555556,0,0,0.222222222,0,0.055555556,0,0,0
AB435,5.316666667,4.694444444,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.111111111,0.388888889,0.888888889,0.166666667,0.722222222,0.666666667,0.888888889,0.944444444,0.888888889,0.444444444,0,0.277777778,0.444444444,0.388888889,0,0,0,0.277777778,0,0.166666667,0.5,0.555555556,0,0.222222222,0.333333333,0,0,0,0.666666667,0,0.444444444,0.222222222,0.055555556,0.166666667,0,0,0,0,0
AB465,6.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,1.555555556,0.277777778,0.888888889,0.333333333,0,0,0.333333333,0.722222222,0.444444444,0.166666667,0.222222222,0,3.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0
AB486,6.138888889,4.866666667,0,0,0.222222222,0,0.166666667,0,0,0.055555556,0.222222222,0,0,0,0,0.166666667,0.5,0,0.111111111,0.222222222,0.833333333,0.222222222,0.666666667,0,0.111111111,0,0.111111111,0.166666667,0,0.111111111,0,0.5,0.388888889,0.5,1.833333333,0.222222222,0,0.5,0.111111111,0,0,0.055555556,0.277777778,0.055555556,0,0,0.5,0,0.277777778,0.277777778,0.277777778,0,0
AB586,5.922222222,6.816666667,0.222222222,3.333333333,0.388888889,0.222222222,0.444444444,0,0.166666667,0.111111111,0.5,0,0.166666667,0,0,0.5,0.722222222,0.166666667,0.111111111,0.166666667,0.444444444,0,0,0,0,0,0.111111111,0.388888889,0,0,0,0,0,0.166666667,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0.055555556
AB641,7.133333333,4.305555556,0.055555556,0,0.111111111,0,0,0,0.111111111,0,0,0,0.055555556,0.111111111,0.5,0.555555556,0,0,0,0,0.277777778,0.166666667,0.166666667,0,0.222222222,0.833333333,0.111111111,0,1.277777778,0.611111111,1,0.111111111,0.166666667,0.611111111,0.722222222,0.055555556,0.388888889,0,0,0.555555556,0,1.333333333,0,0,0.111111111,0,0,0.166666667,0,0,0,0,0
AB672,6.933333333,3.911111111,0,0,0.277777778,2.222222222,0,0,0,0.222222222,0.166666667,0,0.222222222,0,0.111111111,0.555555556,0,0,0,0,0,0.444444444,0.388888889,0.388888889,0.222222222,0.333333333,0.166666667,0,0.555555556,0.166666667,1.055555556,0,0,0.277777778,0.833333333,0.166666667,0.111111111,0.055555556,0,0.555555556,0,1,0,0,0,0,0.888888889,0.055555556,0,0.388888889,0,0,0
AB764,5.727777778,6.094444444,0.055555556,0,0.222222222,3.944444444,0.777777778,0.777777778,0.444444444,0.555555556,0,0,0.055555556,0.055555556,0,1.388888889,0,0.444444444,0,0,0,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.166666667,0,0,1.111111111,0,0,0,0.055555556,0.111111111,0
AB841,6.327777778,6,0,0,0.222222222,3.277777778,0.555555556,0,0.277777778,0.944444444,0.333333333,0,0,0.166666667,0,1.555555556,0.277777778,0.722222222,0.444444444,0.944444444,0.777777778,0.055555556,0,0.222222222,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.111111111,0,0,0,0,0.222222222,0,0,0,0.666666667,0.222222222,0,0,0,0.166666667,0
AB873,5.872222222,5.322222222,0,0,1.055555556,0.055555556,1.277777778,0.555555556,0,0.444444444,0,0.055555556,0,0,0,0,0,0.222222222,0.166666667,1,0.277777778,0.166666667,0,0,0,0,0,0.111111111,0,0,0,0.111111111,0,0,0,0,0,1.055555556,0.055555556,0,0,0,1,1.055555556,0.222222222,0.166666667,0.611111111,0.222222222,0,0,0.722222222,0,0.111111111
AB935,7.183333333,5.394444444,0,0,0.222222222,0,0.111111111,0.111111111,0,0.166666667,0,0,0,0,0.055555556,0.333333333,0,0.111111111,0.333333333,2.222222222,0,0.944444444,0.388888889,1.777777778,0,0,0,0,0,0,0.111111111,0.166666667,0.166666667,0.388888889,2.722222222,0.111111111,0,0.166666667,0.111111111,0,0,0,0.222222222,0.277777778,0,0,0.111111111,0,0,0,0,0,0.166666667
AB988,6.955555556,5.494444444,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.722222222,0.166666667,0.444444444,0,0.166666667,0,0,0,0,0.222222222,0.277777778,0.611111111,0.333333333,3.944444444,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.277777778,0,0,0,0,0.111111111
AB992,6.466666667,7.094444444,0.333333333,3.944444444,0.222222222,0.111111111,0.166666667,0,0,0,0.555555556,0,0.111111111,0,0,0.666666667,0,0,0,0.055555556,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0.222222222,0,0.111111111,0.222222222,0,0,0,0,0,0,0,0,0.5,0,0,0.111111111,0.055555556,0.055555556,0
AC024,5.52962963,4.92962963,1.666666667,0.407407407,1.407407407,0,0.555555556,0.407407407,0.148148148,0.037037037,0,0.074074074,0,0,0,0.111111111,0,0,0.259259259,0.407407407,0.148148148,0.259259259,0.444444444,0.185185185,0.074074074,0.259259259,0,0.037037037,0,0,0,0.481481481,0.148148148,0.148148148,0,0.222222222,0.037037037,0,0.074074074,0,0,0.148148148,0,0.037037037,0,0,0,0.296296296,0.37037037,0.074074074,0.037037037,0.111111111,0.111111111
AC028,6.511111111,4.6,0,0,0.148148148,0.148148148,0.222222222,0,0.148148148,0.444444444,0,0,0,0,0,0.888888889,0.518518519,0.814814815,0.518518519,0.925925926,1,0.407407407,0.111111111,0.296296296,0.074074074,0.518518519,0.037037037,0.074074074,0.074074074,0,0.074074074,0.074074074,0,0.148148148,0,0.185185185,0.703703704,0.222222222,0,0.074074074,0,0.111111111,0.074074074,0.185185185,0.111111111,0.333333333,0.074074074,0.148148148,0,0.111111111,0.296296296,0.444444444,0
AC067,6.737037037,4.914814815,0,0,0.111111111,0.037037037,0,0,0.185185185,0.296296296,0.037037037,0,0,0.074074074,0,1.222222222,0.62962963,1.037037037,0.481481481,1.518518519,1,0.296296296,0,0.148148148,0,0.148148148,0.037037037,0,0,0,0.074074074,0.259259259,0.111111111,0.185185185,0,0,0,0.259259259,0.148148148,0,0.037037037,0,0.222222222,0.703703704,0.074074074,0.259259259,0,0.148148148,0.148148148,0.148148148,0.074074074,0.518518519,0.148148148
AC155,6.464285714,6.028571429,0.214285714,0,0,0,0,0.035714286,0,0,0.035714286,0.142857143,0,0,0,0.178571429,0.321428571,0.25,0,0.214285714,0.142857143,2.464285714,2.5,0.142857143,1.285714286,0.5,0.214285714,0.321428571,0,0.642857143,0.357142857,0,0,0.071428571,0.142857143,0,0,0.071428571,0.142857143,0,0,0,0,0.107142857,0,0.071428571,0,0,0.142857143,0.178571429,0,0,0
AC214,3.907407407,4.351851852,0.148148148,0.148148148,0.185185185,0,0.296296296,0.111111111,0.074074074,0,0.111111111,0.074074074,0.222222222,0.148148148,0.148148148,0.296296296,0.148148148,0.037037037,0,0.148148148,0.111111111,0.37037037,0.407407407,0.296296296,0.259259259,0.185185185,0,0,0.074074074,0.037037037,0.074074074,0.407407407,0.37037037,0.333333333,0.037037037,0.481481481,0.185185185,0.555555556,0.407407407,0,0.333333333,0.111111111,0.185185185,0,0.740740741,0,0,0,0,0,0,0,0
AC329,5.814814815,5.955555556,0.111111111,0,0,0.222222222,0,0.037037037,0.037037037,0.407407407,0,0,0,0,0,2.333333333,1.333333333,1.740740741,0.333333333,0.666666667,0.259259259,0.259259259,0.074074074,0,0.185185185,0.185185185,0.222222222,0.222222222,0.444444444,0.074074074,0,0,0.037037037,0.037037037,0,0,0.037037037,0.037037037,0,0,0,0,0.074074074,0.333333333,0.111111111,0.185185185,0.222222222,0,0,0.148148148,0.074074074,0.296296296,0
