id,components
AL100,73;226;529;461;524
AL112,166;189;226;326;486
AL120,73;387;166;216;239;179;185;452;485;486
AL137,166;221;239;387;283;179;341;418;185;529
AL174,166;179;189;461;475
AL177,166;280;485;453;529
AL200,73;221;485;483;524
AL231,73;158;166;216;239;452;461;485;486;387
AL268,166;185;189;326;280
AL280,166;221;387;326;529
AL310,387;166;524;239;280;341;435;452;485;326
AL334,387;166;189;283;179;418;485;486;226;185
AL360,179;485;387;475;529
AL378,73;166;189;216;524;179;435;476;485;387
AL388,166;179;221;529;453
AL389,185;189;529;326;453
AL397,73;166;185;453;483
AL402,387;529;280;326;475
AL409,73;158;189;341;283;179;185;476;486;529
AL415,179;189;529;280;326
AL417,166;189;216;283;179;226;418;452;476;529
AL426,73;529;280;453;475
AL453,166;179;189;326;453
AL454,73;221;239;529;280;179;341;418;476;485
AL508,179;185;326;387;486
AL520,221;283;387;475;529
AL538,73;179;461;486;524
AL541,73;387;158;166;216;239;341;283;435;326
AL542,166;529;280;387;475
AL581,185;226;485;475;529
AL612,179;189;280;387;475
AL613,185;529;387;483;524
AL650,73;387;158;166;189;216;524;529;283;461
AL657,73;158;166;189;216;221;226;476;485;387
AL679,73;387;239;283;341;418;452;461;486;529
AL694,73;158;326;221;179;418;435;476;485;486
AL705,179;529;280;453;475
AL728,185;387;475;486;529
AL790,179;189;326;461;529
AL806,387;453;461;486;529
AL822,387;239;280;179;418;452;485;486;226;529
AL860,73;221;387;326;486
AL869,158;166;221;283;179;341;435;185;476;485
AL883,387;158;216;221;239;280;341;452;461;485
AL933,73;189;216;239;326;418;435;461;485;486
AL944,73;387;216;221;283;418;185;486;226;529
AL950,73;166;283;179;226;452;476;485;486;387
AL973,73;221;226;326;529
AM019,16;159;200;253;334;365;371;433;451;521
AM043,184;60;527;451;515
AM064,61;88;175;434;521
AM082,31;65;69;163;353;406;420;434;464;521
AM103,31;45;79;114;121;163;371;434;494;521
AM104,60;116;163;213;264;282;365;220;412;464
AM131,38;59;65;420;433
AM172,204;243;282;285;382
AM182,31;38;59;83;451
AM206,184;163;204;353;371
AM212,31;88;114;163;371;45;420;434;494;515
AM221,184;61;84;527;334
AM281,16;527;200;244;253;365;406;433;458;521
AM286,38;65;114;163;371;406;420;464;494;515
AM311,38;163;243;420;494
AM349,184;527;200;244;345;365;406;433;451;458
AM361,83;253;285;432;442
AM414,45;60;61;69;116;264;282;321;365;464
AM430,38;184;83;432;442
AM431,16;184;78;121;521;45;334;420;451;531
AM435,31;45;60;61;69;213;264;321;220;365
AM451,184;60;88;175;382
AM456,96;204;243;442;464
AM461,184;527;163;264;38
AM483,60;345;353;420;521
AM516,184;61;345;515;521
AM518,204;264;412;432;515
AM523,65;204;244;412;442
AM571,60;69;163;213;527
AM586,84;442;163;253;420
AM654,184;59;159;412;432
AM706,88;253;282;420;464
AM715,61;116;162;220;282;321;365;382;412;464
AM782,527;159;244;253;345;365;371;433;451;458
AM792,243;285;371;442;527
AM796,78;204;282;285;382
AM810,184;69;96;285;527
AM840,16;527;184;213;264;45;334;451;521;531
AM881,31;96;420;432;442
AM882,31;38;65;69;88;163;372;406;420;434
AM907,527;213;244;279;451
AM911,16;184;78;527;121;264;279;45;334;531
AM940,16;184;365;38;406;433;451;458;494;521
AM942,83;88;243;96;451
AM943,184;84;163;264;521
AM944,31;45;60;69;213;220;264;321;458;464
AM966,527;213;244;412;515
AM969,184;78;527;121;264;45;420;521;220;531
AM990,60;175;420;515;521
AM997,16;184;45;121;264;279;420;521;220;531
AN087,31;103;204;237;321;340;345;365;399;509
AN095,59;103;204;220;340;345;365;371;399;515
AN132,367
AN152,367;137
AN176,138;399;442;515;528
AN230,307
AN232,257
AN243,61;121;126;159;175;220;353;399;420;509
AN268,45;442;59;69;103;114;138;220;285;494
AN279,307;257;139;512;180;74
AN289,245
AN301,59;83;114;138;237;253;399;416;220;531
AN303,31;59;103;204;340;345;371;220;442;515
AN307,59;126;159;220;237;353;399;416;420;509
AN352,180
AN368,245;312
AN446,442;365;412;515;521
AN462,312
AN472,309
AN474,309;126
AN479,59;114;121;365;412
AN484,201
AN561,59;103;204;237;282;321;365;371;406;416
AN565,83;114;116;138;237;253;340;509;464;220
AN590,178
AN602,4
AN647,139
AN654,5
AN656,131
AN665,512
AN739,220;279;340;345;509
AN759,1
AN769,6
AN777,137
AN796,7
AN802,121;126;138;365;442
AN803,126
AN813,410
AN873,1;2
AN874,2
AN875,8
AN885,201;205
AN890,97
AN897,3
AN906,74
AN955,220;353;399;420;434
AN961,228;97;410;131
AN972,205
AN983,96
AN986,228
AO004,10
AO006,61;88;97;126;200
AO016,424
AO025,260;424;227;495;10;454
AO033,59;69;98;184;237;253;285;430;434;442
AO055,31;38;59;237;282;365;220;406;442;515
AO060,63;78;98;116;163;220;237;279;430;434
AO074,45;69;98;103;442;220;285;321;399;528
AO080,61;365;406;412;521
AO083,38;59;121;213;509
AO091,88;159;213;442;371
AO180,38;45;61;321;442
AO208,61;114;121;282;521
AO235,31;83;116;220;253;442;416;509;237;528
AO268,59;63;163;184;237;279;285;346;430;494
AO276,83;116;220;126;392
AO284,38;59;282;365;420
AO297,495
AO305,61;138;442;464;521
AO309,38;61;116;175;442
AO318,59;126;175;220;353;442;399;412;420;509
AO338,31;114;116;138;220;237;253;282;399;531
AO390,88;220;442;253;434
AO440,45;59;69;98;103;220;285;399;416;494
AO456,38;358;392;399;406;420;430;434;442;515
AO482,220;279;345;392;442
AO486,61;200;97;365;528
AO500,121;138;220;399;442
AO542,61;103;406;515;521
AO549,31;237;442;464;521
AO567,442;253;279;285;521
AO579,16;61;98;120;282
AO596,38;61;321;365;442
AO615,116;442;220;279;420
AO665,59;69;121;399;521
AO684,88;126;159;213;420
AO697,31;83;116;138;220;253;442;282;399;528
AO718,38;59;61;442;121;420;175;220;399;531
AO742,121;138;213;220;434
AO760,260
AO762,434;220;420;442;528
AO849,16;97;114;138;220
AO865,45;442;69;114;220;321;392;416;494;528
AO870,59;61;121;126;442;175;353;399;420;509
AO874,454
AO882,442;98;103;114;321;220;282;392;494;528
AO915,227
AO919,61;116;285;509;442
AO984,213;282;345;442;371
AO986,9
AP029,38;78;358;371;515
AP048,59;114;264;515;528
AP067,59;163;200;334;358
AP145,59;61;114;213;528
AP146,346;126;243;282;358;382;399;412;432;531
AP154,88;163;200;521;531
AP164,193;371;406;509;515
AP177,282;285;353;382;528
AP182,346;88;126;175;282;358;382;399;509;527
AP257,61;65;116;200;244;264;285;361;365;389
AP258,100;346;399;442;509
AP275,163;244;334;353;430
AP283,163;237;358;430;531
AP320,65;220;279;334;420
AP325,114;120;204;213;528
AP340,16;61;78;98;184;244;321;430;509;531
AP385,88;126;175;282;334;345;399;432;509;531
AP397,45;346;175;220;358;399;406;420;434;521
AP399,78;193;358;371;521
AP431,98;121;175;334;353
AP432,65;116;121;163;285;340;361;389;420;528
AP447,61;114;120;365;389
AP450,100;175;399;434;531
AP477,16;65;204;430;434
AP521,16;61;78;200;244;264;279;321;399;509
AP524,346;65;121;175;220;243;358;361;406;420
AP563,98;184;220;244;264;321;334;430;464;531
AP571,65;69;100;184;244;340;389;420;527;528
AP577,346;88;321;220;340;345;399;412;432;509
AP591,16;78;98;184;244;285;358;430;528;531
AP627,59;340;382;521;531
AP661,114;121;220;243;253;321;345;406;420;521
AP679,346;78;88;321;282;334;358;412;432;531
AP691,59;97;213;345;528
AP734,61;65;69;100;200;340;361;420;527;528
AP738,16;61;98;184;220;244;264;334;358;531
AP745,259
AP752,100;237;420;434;531
AP774,346;97;213;345;365
AP781,98;100;121;430;528
AP810,61;65;213;399;531
AP839,59;121;126;406;521
AP841,45;65;114;121;175;220;253;399;434;531
AP848,45;114;175;220;243;321;345;434;521;531
AP854,65;100;244;264;285
AP858,61;100;126;213;361
AP958,88;279;321;340;399
AP974,334;353;382;412;430
AP983,237;321;340;382;399
AP990,38;126;371;399;406
AQ008,433;84
AQ077,196
AQ079,387
AQ140,409;196;491;183;232
AQ145,531
AQ156,453
AQ207,483
AQ227,163
AQ230,341
AQ247,486
AQ254,461
AQ292,84
AQ310,358;65
AQ326,475
AQ376,183
AQ387,216
AQ396,21
AQ434,185
AQ466,387;158;216;221;239;280;341;452;461;485
AQ473,243
AQ541,409;129;232;263;491
AQ563,433;83
AQ593,409
AQ596,263
AQ615,83
AQ632,239
AQ640,38
AQ650,491
AQ673,386
AQ677,358
AQ692,528
AQ695,158
AQ736,221
AQ746,65
AQ778,387;453;461;486;529
AQ780,280
AQ784,38;528
AQ792,433
AQ794,185;485;475;483;486
AQ810,243;531
AQ853,184;83
AQ854,184
AQ862,163;337
AQ882,21;409;183;386;491
AQ892,529
AQ908,337
AQ918,452
AQ924,232
AQ938,129
AQ941,485
B003,124
B015,461
B082,34
B178,377
B217,179
B253,122
B276,26
B374,144
B381,230
B402,329
B505,37
B546,143
B623,381
B668,148
B670,153
B684,328
B713,241
B788,475
B864,216
B878,232
B906,242
B921,453
B970,27
C038,272
C114,524
C208,414
C312,474
C377,511
C391,262
C393,295
C415,280
C452,264
C490,158
C542,160
C564,263
C597,21
C622,415
C652,12
C682,471
C698,40
C702,157
C729,271
C749,520
C852,338;338
C887,505
C896,167
C979,266
D082,452
D088,501
D104,435
D109,325
D141,484
D171,287
D204,284
D263,344
D299,67
D304,108
D313,463
D323,342
D355,193
D396,94
D444,66
D485,100
D534,189
D555,483
D564,499
D699,462
D716,95
D753,436
D782,387
D819,323
E003,229
E058,140
E270,489
E449,296
E587,331
E770,219
E778,378
E781,481
E804,446
E947,218
E985,485
F080,183
F401,226
F422,117
G169,247
G231,313
G294,110
G419,312
G427,129
G493,195
G523,288
G574,330
G576,436
G595,127
G622,248
G665,196
G879,292
G953,366
H009,347
H092,492
H127,417
H175,57
H259,364
H446,54
H488,132
H521,418
H551,225
H584,136
H644,362
H714,349
H767,491
H878,224
I103,496
I405,147
I425,145
I463,315
I535,239
I554,304
I656,476
I666,479
I714,302
I715,477
I769,498
I986,316
J087,386
J093,529
J215,73
J294,449
J346,516
J497,372
J594,221
J612,11
J613,89
J622,341
J670,130
K532,475
K853,499
K869,425
K914,245
K927,308
K970,323
L218,76
L411,476
L788,110
L824,306
L973,288
